当前文件,有效资产,根本问题,保留,拆分,合并,降级为参考,迁移到哪里,理由
00-使用说明与改进逻辑,三系统、最低充分记录、优先级原则,把大量架构解释放入主系统，进一步增加术语和认知负担,提炼5条原则,否,否,设计史参考,主链总章程（1页）,保留原则，删除长解释
01-Prompt3选题创作,入口、观看承诺、记录准入、视觉与回报意识,40种子、12池、6卡、双中段/双结果/双结尾，策略与单篇创作混在一起,少量准入问题,拆为“承诺原型实验室”与“动态对标简报”,否,原文件归档,M1动态对标＋M2承诺原型,当前最主要注意力过载源之一
02-融合审查-选题,平台/成年/记录门槛、调查报告风险,12门禁＋评分＋整批配额＋合并，评审变成二次创作,平台硬边界,拆为“承诺门”与“排期重复检查”,否,评分表归档,Gate A＋账号排期层,不再融合主题，不做100分总评
03-Prompt4故事创作,问题推进、故事发动机、视觉可见、记录最小化,五路线、17模块、完整文案，生成策划案而非自然故事,发动机和可视化问题,拆为8—12节拍骨架与可选扩写,否,五路线与L/R体系降级参考,M3故事骨架＋M6生产扩写,完整故事生成太早且解释责任过多
04-融合审查-故事,完整骨架优先、调查报告检测、记录降档,评分委员会仍有选择、移植、修补和重写权,致命缺陷清单,拆为只诊断不改写的红队,否,融合逻辑删除,M4红队挑战,评审不再拥有故事所有权
05-Prompt5视觉导演,正向提示、连续性、后期文字、动态图数、退回,同时承担视觉原型、全片规划、人物资料、逐图提示、文案和发布包装,正向提示/连续性/文本后期/成年人,拆为视觉原型、生产编译、图片QA、文案包装,否,长格式降级参考,M5/M7/M8,职责最多、制作成本和影视剧照感的重要来源
06-跨文件合同与术语,统一概念和交接,术语变成每个环节必须回填的表单,最小交接字段,缩成一页JSON/表格schema,否,长术语表归档,全链路轻量合同,只有下游真正使用的字段才传递
07-离线回归测试,验证分化、调查报告和记录等级,仍以五路线和完整故事为测试单位,回归思想,重写为承诺/骨架/视觉原型测试,否,旧表归档,离线回归模块,测试应在低成本节点发生
08-删改审计,记录版本变更和冲突,自证一致性多于验证市场效果,版本资产,否,否,归档,设计决策日志,不进入任何创作调用
底层研究结论,市场机制、真实感和用户需求,若整篇塞入Prompt会形成隐形模板和注意力污染,抽象市场合同,拆成动态市场摘要和案例库,否,长报告仅供研究,M0排期＋M1对标,研究不应等于永久创作上下文
