user_work,external_work,match_dimensions,caution,user_likes,user_comments,user_saves,user_shares,user_images,external_author,external_likes,external_comments,external_saves,external_shares,external_images,external_source
一夜复燃的长城烽火,时代的异乡人,历史人物返回/工作记录/恐惧转悲伤,记录入口与情绪变轨接近，但账号体量和题材预装不同,6587,60,1680,361,30,Zayn,10684,252,1179,2003,25,https://github.com/houghtongasthini-max/xiaoshujiang/commit/ad2500d8baafb0ef3251b4a295591794b3ec581d
一夜复燃的长城烽火,香巴拉,共知文化母题/敬畏与亲情/世界确认,更适合比较文化预装和转述，不宜直接比绝对互动,6587,60,1680,361,30,鼠鼠脑洞批发,127124,1220,16150,18406,27,https://github.com/houghtongasthini-max/xiaoshujiang/commit/f307a867c1adf62ebe35649f04d13975fe5899b8
零号线：下一站，遗忘,绝对沉浸,概念世界/身份与选择/哲学式收束,都存在解释完整和作者结论偏强的风险,266,14,52,8,24,Zayn,4543,119,673,621,23,https://github.com/houghtongasthini-max/xiaoshujiang/commit/a94420b79ba29c98145e8ebf423164a329b7e43d
零号线：下一站，遗忘,白城入梦事件,梦境或身份替换/认知不安/约23-24图,可比较抽象概念的可视化与中段流失,266,14,52,8,24,Zayn,2415,57,389,191,23,https://github.com/houghtongasthini-max/xiaoshujiang/commit/482166fd02d4cb0370868d5bd183181305dea6e1
父亲的棺材里装着我今日的衣服,老家后山回来老屋变荒坟,返乡/墓地空间/家族与身份异常,前者情绪和规则更复杂，且受平台敏感影响,43,3,11,2,26,L-Ruins,1432,74,418,443,21,https://github.com/houghtongasthini-max/xiaoshujiang/commit/dd0944eb71e246c7fdafbeaa8817739726f2a583
父亲的棺材里装着我今日的衣服,槐阴村的诅咒,民俗家族/代际或群体冲突/26图,可比较规则密度与平台风险，不能据此归因题材市场,43,3,11,2,26,Zayn,4088,66,646,745,26,https://github.com/houghtongasthini-max/xiaoshujiang/commit/c6a6767ac36698d76bb2e2e704456f7e8fb0a097
在万米海底接上师傅没修完的光缆,海渊371绝对坠落,深海科考/工程设备/敬畏与前辈关系,最接近的题材与影像语法对标,1781,18,575,41,21,Zayn,41967,564,8477,3749,29,https://github.com/houghtongasthini-max/xiaoshujiang/commit/acc91efa032c6cfc42e313356d87d83acdf61bbc
在万米海底接上师傅没修完的光缆,舟山海洋调查与UFO,专业海洋任务/未知文明/工作记录,可比较任务解释量与未知余量,1781,18,575,41,21,鼠鼠脑洞批发,45084,480,5971,4234,27,https://github.com/houghtongasthini-max/xiaoshujiang/commit/7dda72300b3d743ddacc805d2758425560c4fae8
当天气预报百分百正确,绝对沉浸,社会规则寓言/群体选择/完整意义收束,可比较抽象议题与低门槛事件之间的距离,114,1,22,2,28,Zayn,4543,119,673,621,23,https://github.com/houghtongasthini-max/xiaoshujiang/commit/a94420b79ba29c98145e8ebf423164a329b7e43d
当天气预报百分百正确,日本黑帮卖花,非纯恐怖/关系或制度背后的人性结果,用于比较“先事件后意义”与“先议题后意义”,114,1,22,2,28,鼠鼠脑洞批发,69626,365,9601,5889,24,https://github.com/houghtongasthini-max/xiaoshujiang/commit/e15cc523f42e0d3c6a939217dc4d617417f84689
格式化前旧手机把没发出的话发出,二手CCD未清存储卡,旧设备/残留记录/物件驱动,最接近的装置入口；情绪产品不同,9,3,0,3,28,浮光纪事,84199,1135,5938,15558,25,https://github.com/houghtongasthini-max/xiaoshujiang/commit/9b6555077bf04dd5e7e536f369002b5c65e1eb6e
格式化前旧手机把没发出的话发出,日本黑帮卖花,成熟悬念外壳转温情/关系回报,用于比较温情如何被市场入口承载,9,3,0,3,28,鼠鼠脑洞批发,69626,365,9601,5889,24,https://github.com/houghtongasthini-max/xiaoshujiang/commit/e15cc523f42e0d3c6a939217dc4d617417f84689
