模块,解决什么问题,输入,核心决策,输出,不负责什么,使用几个模型,是否人工介入,失败回到哪里
M0 账号排期与实验卡,决定本篇只承担哪一种战略任务,最近10篇数据、内容线库存、创作者目标,稳定线/增长线/实验线；本篇唯一假设；风险预算,一页任务卡,不生成故事、不规定具体结构,1个分析模型辅助,是，人工最终决定,无任务卡则不启动
M1 动态对标与需求简报,把成熟需求和临时案例引入本轮，而不永久锚定,任务卡、对标库、近期作品,检索2—5个相关案例；提炼需求、入口、问题变化、回报、缺陷、禁复制边界,临时机制卡,不选最终主题、不写剧情,1个检索/分析模型,人工抽查案例,案例不足则回M0调整问题
M2 承诺原型实验室,低成本验证用户为什么点、为什么继续,任务卡、临时机制卡、制作边界,生成3—5个承诺原型；每个只含一句话、标题、封面关系、首句、前三张、核心变化、终局图、社会转述、记录一句话,承诺原型卡,不写完整故事、不做人设百科,1个主创；高价值轮次可加1个挑战者,是，选择冠军,无原型通过则回M1或终止
Gate A 承诺门,在完整故事前淘汰入口无效概念,承诺原型卡,三秒理解、熟悉需求、首图可读、翻页动力、可见结果、平台与制作底线,GO/TEST/KILL与冠军,不修故事、不综合平均,1个轻量评审或人工,是，人工拍板,TEST回M2；KILL回M1
M3 8—12节拍故事骨架,验证事件是否真的有发展而不过早写长稿,冠军承诺、最低记录要求,唯一观看问题、实际发动机、8—12状态、必要人物、核心变化、高潮结果、允许的信息缺口,1份冠军骨架＋可选挑战骨架,不写完整文案、不设计每张图,1个主创；必要时1个挑战者,是，选冠军,失败回M2；只修一个致命节点
M4 红队挑战,发现致命问题但不把作品修成委员会产品,冠军骨架、禁复制边界、平台边界,检查承诺漂移、致命逻辑、记录不可能、复制风险、视觉瓶颈、过度完整,按致命/重大/可忽略分级的问题单,无权改写、无权加人物/规则/意义,1个独立评审模型,人工决定是否修,致命回M3；无致命即停止优化并锁定
Gate B 故事锁定,确认是否值得进入视觉试验,骨架、红队问题单,只处理致命项；确认故事所有权和不可改内容,锁定骨架,不追求满分、不处理轻微瑕疵,人工,是,不通过回M3或终止
M5 关键视觉原型,在20多张生产前证明画面与纪录感,锁定骨架、视觉模式候选,封面、前3张、中段、高潮、最后一张；人物/异常测试；2—3张连续性测试,5—8张关键图提示与实际测试图,不输出全片分镜、不写发布文案,1个视觉导演＋图像模型,是，视觉通过门,两轮仍失败回M3或M2
Gate C 视觉通过门,判断故事是否能以本账号形式成立,关键测试图,首图清楚、相邻可辨、人物自然、异常接触真实、高潮可读、记录语法不摆拍,通过/返修/终止,不因沉没成本放行,人工＋1个视觉QA,是,局部返M5；结构问题返M3
M6 完整生产蓝图,只为已证明有效的承诺扩写完整内容,锁定骨架、通过的视觉原型,确定必要图数、场景、信息缺口、录制覆盖、关键动作与结尾,简洁生产稿、分镜状态表,不重新选题、不增加主题意义,1个生产编剧/视觉编译模型,人工确认图数,问题返M3或M5
M7 生图提示编译与图片QA,低重复地生产整组图并定点返修,生产蓝图、全局视觉卡、已通过原型,全局身份/环境卡＋每图差分提示；连续性、真实感和核心信息检查,最终图片与返修清单,不改故事、不写文案、不做发布策略,1个提示编译模型＋1个QA；图像模型按需,是，按批次审图,具体图回本模块；结构问题回M6
M8 文案真人化与发布包装,让叙述像有限知识的真实经历者，并匹配平台入口,最终图片、任务卡、观众数据,确定叙述者知识边界、首行、稀疏引导、标题、置顶评论、标签和声明,发布包,不补剧情漏洞、不替图片宣布意义,1个文案模型，可加人工口语改写,是,入口问题回M2；图片问题回M7
M9 数据复盘与决策账本,让数据回到具体决策，不自动变永久规则,后台数据、制作耗时、返修记录、假设卡,区分平台/入口/中段/情绪/互动/制作；更新假设置信度、作品指纹和对标库,复盘卡、假设队列、排期建议,不因单篇改永久Prompt,1个分析模型,人工确认归因,进入下一轮M0
