规则或机制,原始目的,AI实际响应,产出中的可见变化,正面作用,副作用,数据或反馈,当前判断
记录四问,让影像来源成立,主动给人物补职业、设备、拍摄动机与外流链,减少无主摄影机和不可能机位,提高拟真信用,容易把简单奇遇改写成工作留档或取证事件,长城/深海的职业入口成立；黄河出现测量、上传、附件化,保留为轻量准入，不进入创作评分
R1/R2/R3记录等级,控制记录过建,模型显式规划主记录源和辅助来源,设备切换更可解释,限制无意义多设备,标签本身成为规划负担，模型仍倾向展示设备专业度,白雀谷需三种常驻机位；旧手机仍保留监控/界面/登记单,降级为视觉阶段内部模式，不要求主题阶段输出
近期作品结构距离,防作品级换皮,先扫描大量结构维度并主动避开已用组合,减少直接重复,保护账号长期多样性,压制成熟需求，促使模型为了不同而陌生化；且反而形成新的“必须换挡”模板,Prompt3和融合审查均把结构距离放入候选生成与评分,移到账号排期和成稿后的复制检查
40个内部种子→12池→6卡,提高发散覆盖,模型大量枚举并补齐配额,题材覆盖更广,降低单模型第一答案偏见,注意力稀释、伪多样性、人工筛选成本高,3.0 Prompt3明确要求40种子、12主题、6卡,改为3—5个承诺原型，必要时再补挑战者
主题卡双中段/双结果/双结尾,保留生长弹性,主题阶段提前预写多套故事结构,避免一开始锁死唯一剧情,给下游选择空间,开放主题被写成半成品剧本；每个概念被迫显得复杂,旧手机主题卡已包含具体人物、语音、正规核对和两类结局,删除；只保留一个核心承诺和一条可行发展证据
五路线A—E,强制不同创作方向,同一主题被分别任务化、关系化、过程化、类型化,有机会发现非默认路线,提高路线覆盖,为了不同而不同；每条路线又探索3子路线，成本呈乘法增长,白雀谷五稿被评分后选E；其完整度最高但也是制作最难,改为冠军方案＋挑战方案；只有关键不确定点并跑
完整骨架100分评分,避免只被局部奇观吸引,模型优先选择因果、换挡、人物、情绪最齐全的方案,减少碎片化选择,提高逻辑完整度,最“可解释”的方案胜出，不一定是最有市场锋利度的方案,白雀谷E因四路全堵死、公共资格闭环获94分,改为承诺门、致命缺陷门和人工冠军选择，不做伪精确总分
融合移植,取长补短,评审从其他稿件抽取节点再重缝因果,可补明显短板,较2.0无限拼接更克制,仍会削弱单稿人格，评审权过大,黄河2.1大量部件移植；3.0虽限2项仍保留委员会编辑逻辑,默认不融合；挑战者只提出问题或提供一个替代节点
中段换挡,避免中段重复同一问题,模型主动安排原计划失效、目标/资格/关系改变,能修复平铺调查,提高后半段新鲜度,被当成所有故事的硬结构，纯事件与过程也被人为转向,白雀谷由天气选择转“谁有资格开口”；旧手机由批次转找家属,降级为适用结构；统一检查改为“中段是否仍有新等待理由”
不可逆选择与局部结果权,防人物成为人形摄像机,模型给主角安排撕稿、交权、改顺序、受罚等动作,增强人物参与和后果,修正黄河式旁观,每篇都要选择、代价与意义，产生标准人物弧,白雀谷撕稿摘牌交笔；旧手机改队列扣绩效,只在人驱动题材启用；事件/奇观/过程故事不强制
情绪发动机与变轨,避免纯奇观和单调情绪,模型设计诡异→悲壮/温情/释然等曲线,提高情绪回报意识,支持非微恐方向,每篇都被写成“类型外壳＋深层情绪”并被作者解释完整,零号线、白雀谷、旧手机均有明确情绪路径和主题落点,保留为可选产品定义；禁止要求每篇变轨
回报阶梯,防最终高潮太晚且前段空转,模型规划前4张、前半段、中段和终局回报,改善滑图节奏意识,比固定高潮百分比更合理,容易把节奏写成检查表，出现人为“每段必须值了”,3.0分镜显式映射每级回报到图号,保留在骨架评估，但不要求输出完整阶梯表
观众参与角色,解决评论入口缺失,模型给每篇分配侦探/判断者/见证者等,提高互动意识,有助发布包装,故事被迫承担评论任务；角色标签又增一层规划,旧手机被定为同行者；白雀谷为判断者/见证者,移到发布包装，不进入故事生成硬约束
一张图一个可命名变化,防相邻图片雷同和跳帧,模型把动作拆成大量独立状态,提升连续性可读性,修复深海微动作不清,微动作碎片化、图数膨胀、每图都像受控镜头,白雀谷和旧手机均被推导为28张,改为“一张图一个主信息”，允许两步动作合并和纪录缺口
桥接图与承接锚点,减少观众脑补跨度,模型增加过渡帧和重复物件/位置,提高局部连贯,对复杂动作有效,增加无市场回报画面和制作成本,白雀谷5张桥接；旧手机4张桥接,仅在两关键状态无法理解时添加，先尝试合并或改构图
纯正向提示词,减少负面词干扰,用可见事实代替排除词,提升生成指令清晰度,与用户返修经验一致,若正向细节过多仍会造成注意力拥堵和摆拍感,Prompt5每张仍包含五层完整说明,保留原则，但改成全局卡＋短镜头差分
人物参考图与固定锚点,保持人物一致,先生成身份资料照和全身图，再重复年龄/服装/识别点,提升跨图身份稳定,降低换脸换装,资料照感、角色僵硬、提示词重复；次要角色成本高,白雀谷4名人物各有详尽锚点和参考图,只给1—2名核心人物建立行动型参考；次要人物用简短视觉标签
精确时间与光线连续表,防时间逻辑穿帮,模型为每段写日期、分钟、间隔和机位,提高复杂事件连续性,方便后期文字,诱导无必要时间戳、增加文本错误与返修,白雀谷跨8天、28图逐项规划时间,只在时间本身影响故事时启用；普通故事用阶段光线
可画但无戏退回,防视觉层忠实生产平庸故事,Prompt5检查中段、人物、高潮和记录过建,承认视觉层能发现上游问题,是3.0有效资产,发现得太晚，前面已支付主题/五故事/融合成本,3.0新增但白雀谷、旧手机均已完成完整策划后才进入,前移到承诺原型和关键视觉原型阶段
